,Unnamed: 0,Manufacturer,Category,GPU,OS,CPU_core,Screen_Size_cm,CPU_frequency,RAM_GB,Storage_GB_SSD,Weight_kg,Price,Screen_Size_inch,Weight_pounds,Price-binned,Screen-Full HD,Screen-IPS_panel
118,118,Lenovo,3,2,1,5,35.56,0.8620689655172414,8,256,1.65,1709,14.0,0.7482993197278911,Medium,True,False
119,119,Lenovo,3,3,1,7,39.62,1.0,8,256,2.67,2655,15.598425196850393,1.2108843537414966,Medium,True,False
120,120,Dell,4,2,1,5,39.62,0.5517241379310345,8,256,1.42,2340,15.598425196850393,0.6439909297052153,Medium,True,False
121,121,Dell,5,3,1,7,39.62,0.9655172413793103,8,256,1.78,3059,15.598425196850393,0.8072562358276644,High,True,False
122,122,Toshiba,3,2,1,5,33.02,0.8620689655172414,8,256,1.05,2124,13.000000000000002,0.4761904761904762,Medium,False,True
123,123,HP,3,2,1,5,33.02,0.5517241379310345,4,128,1.49,922,13.000000000000002,0.6757369614512472,Low,False,True
124,124,Lenovo,3,2,1,5,35.56,0.5517241379310345,8,256,1.75,1333,14.0,0.7936507936507936,Low,False,True
125,125,Lenovo,3,3,1,5,38.1,0.8620689655172414,8,256,2.3,1286,15.0,1.0430839002267573,Low,False,True
126,126,Lenovo,3,2,1,7,39.62,0.6206896551724138,8,256,2.17,1142,15.598425196850393,0.9841269841269841,Low,True,False
127,127,Lenovo,3,2,1,3,33.02,0.8275862068965517,8,256,1.4,1206,13.000000000000002,0.6349206349206349,Low,False,True
128,128,Lenovo,3,2,1,5,38.1,0.8620689655172414,8,256,2.3,1157,15.0,1.0430839002267573,Low,False,True
129,129,Lenovo,3,2,1,5,33.78,0.8620689655172414,8,256,1.44,1206,13.299212598425196,0.6530612244897959,Low,True,False
130,130,Dell,4,2,1,5,33.78,0.8620689655172414,8,128,1.29,1142,13.299212598425196,0.5850340136054422,Low,False,True
131,131,HP,3,3,1,5,39.62,0.8620689655172414,8,256,2.04,1129,15.598425196850393,0.9251700680272109,Low,True,False
132,132,HP,4,2,1,7,33.02,0.9310344827586208,8,256,1.32,1777,13.000000000000002,0.5986394557823129,Medium,False,True
133,133,Dell,3,2,1,5,35.56,0.896551724137931,8,256,1.64,1626,14.0,0.7437641723356009,Medium,True,False
134,134,Lenovo,3,2,1,5,35.56,0.793103448275862,8,256,2.02,1702,14.0,0.9160997732426304,Medium,True,False
